Name,App.,Minutes,Shots,Shots on Target,Shots in Box,Shots Outside Box,Headed Attempts,Big Chance,Big Chance Created,Goals,Goals inside Box,Goals outside Box,Headed Goal,Goal Involvement,Key Pass,Big Chance Created.1,Assists,Crosses (Tot.),Crosses (Succ.),Crosses Succ. %,Exp. Goals (xG),Non Penalty xG (NPxG),Exp. Assists (xA),Exp. Att. Points (xATT),Exp. Points (xPts),Exp. Involvement (xGI),Cost (£M),Points,Bonus Points,Baseline BPS,BPS,Threat,Creativity,Influence,Total Passes,Accurate Passes,Pass Completion (%),Opp. Half Passes,Opp. Half Accurate,Opp. Half Pass %,Final 3rd Passes,Final 3rd Accurate,Final 3rd Pass %,Throughballs (Tot.),Throughballs (Succ.),Touches (All),Touches (Box),Entries (Box),Fouls Won (Final 3rd),Penalty Box Entries,Fouls Won (Box),Fouls Made,Corners Taken,Set Piece Into Box,Freekicks (Indirect),Freekicks Taken,Freekicks (Accurate),Freekicks (Direct),Freekick Scored,Penalties Taken,Penalties Scored,Penalties Missed,Clean Sheets,Goals Conceded,Exp. Clean Sheets,Expected Goals Conceded,Shots Conceded,Shots In Box Conceded,Shots on Target Conceded,Headed Shots Conceded,Shots Conc. Set Pieces,Big Chances Conceded,Tackles (Tot.),Tackles (Won),Tackles Won (%),Recoveries,Clearances,Blocks,Interceptions,CBI,Shots Conc. Set Pieces.1,Wins,Saves,Yellow Cards,Second Yellows,Red Cards,Offsides,Errors (lead to Goal),Errors (lead to Shot),Own Goals,Names,Position,Team
S.Longstaff (M)NEW,4,90,1.5,0.25,1.0,0.5,0.25,0.75,0.25,0.0,0.0,0.0,0.0,9,1.0,0.75,0.25,2.25,1.0,44,0.28,0.28,0.16,1.9,4.48,23,4.4,3.0,0.0,7.0,9.25,17.5,17.1,12.0,39.75,32.5,82,25.5,18.0,71,12.5,9.5,76,0.0,0.0,54.25,3.0,4.25,0.0,2.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,,0.96,10.25,6.5,3.0,2.25,0.25,1.0,1.25,0.75,60,3.5,0.5,0.0,0.75,1.25,0.25,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,S.Longstaff ,M,NEW
Almirón (M)NEW,4,86,3.0,1.0,2.5,0.5,0.0,0.5,0.25,0.75,0.5,0.25,0.0,45,1.25,0.5,0.5,1.0,0.5,50,0.37,0.37,0.24,2.54,5.51,32,5.8,9.0,1.0,11.25,29.25,47.25,20.02,36.85,36.0,30.5,85,28.25,23.25,82,19.25,15.25,79,0.0,0.0,53.25,6.5,2.0,0.5,1.75,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,,0.96,10.25,6.5,3.0,2.25,0.25,1.0,2.0,1.0,50,4.75,0.0,0.0,0.25,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,Almirón ,M,NEW
Ward-Prowse (M)SOU,4,90,0.5,0.25,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,33,2.25,0.0,0.25,8.25,2.5,30,0.04,0.04,0.27,0.98,3.76,20,6.2,2.75,0.0,15.5,17.75,2.0,37.25,16.95,58.75,49.25,84,44.75,31.75,71,19.5,14.5,74,0.0,0.0,74.25,0.0,9.5,0.0,10.25,0.0,0.5,5.0,6.75,1.75,1.75,0.75,0.25,0.0,0.0,0.0,0.0,0.0,2.25,,1.77,11.5,7.25,4.25,2.75,0.25,3.25,1.0,0.5,50,6.25,0.75,0.0,0.75,1.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ward-Prowse ,M,SOU
S.Armstrong (M)SOU,4,72,1.0,0.5,1.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,33,1.0,0.25,0.0,1.75,0.25,14,0.17,0.17,0.16,1.34,3.8,22,4.7,3.5,0.5,8.75,13.25,17.0,14.22,14.0,32.75,25.25,77,23.75,16.25,68,14.25,10.25,72,0.0,0.0,43.5,2.5,3.5,0.25,3.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,1.77,11.5,7.25,4.25,2.75,0.25,3.25,0.5,0.5,100,3.25,0.5,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S.Armstrong ,M,SOU
Elyounoussi (M)SOU,4,86,1.5,0.25,1.25,0.25,0.25,0.5,0.25,0.0,0.0,0.0,0.0,33,1.5,0.5,0.25,2.75,1.0,36,0.22,0.22,0.19,1.65,4.06,27,5.2,2.5,0.0,5.5,7.75,20.75,23.3,15.25,27.0,20.25,75,21.75,15.25,70,12.5,8.5,68,0.5,0.25,44.75,3.5,3.5,0.0,2.0,0.0,1.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,,1.77,11.5,7.25,4.25,2.75,0.25,3.25,2.25,0.75,33,5.25,1.25,0.25,0.75,2.25,0.25,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,Elyounoussi ,M,SOU
Eriksen (M)MUN,4,84,0.75,0.25,0.5,0.25,0.0,0.5,0.5,0.25,0.25,0.0,0.0,60,2.0,0.5,0.5,4.25,0.75,18,0.2,0.2,0.27,1.8,4.64,25,6.3,6.5,1.25,16.25,25.25,10.0,29.6,25.9,59.75,49.75,83,42.75,32.75,77,23.75,18.5,78,0.5,0.5,71.25,0.75,10.0,0.0,6.75,0.0,0.75,4.0,2.75,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.5,1.0,,1.36,9.75,5.25,4.5,1.5,0.25,1.5,1.0,1.0,100,7.75,1.0,0.0,0.5,1.5,0.25,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,Eriksen ,M,MUN
Lucas Moura (M)TOT,4 (4),18,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.0,0.0,1.5,0.25,17,0.01,0.01,0.02,0.14,1.67,2,5.8,1.0,0.0,3.75,3.75,6.5,4.5,4.3,8.25,6.25,76,8.25,5.0,61,4.75,3.25,68,0.0,0.0,15.25,1.25,0.5,0.25,1.75,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,,1.6,11.0,7.5,5.0,1.5,1.0,2.25,1.25,1.0,80,1.25,0.0,0.0,0.25,0.25,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lucas Moura ,M,TOT
Rice (M)WHU,4,90,2.25,0.5,0.5,1.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,0.0,0.0,1.5,0.0,0,0.08,0.08,0.08,0.64,3.38,14,4.8,2.25,0.0,13.0,13.0,10.25,19.12,17.65,69.25,63.5,92,37.5,31.25,83,20.25,16.25,80,0.0,0.0,83.5,0.5,11.25,0.25,3.25,0.0,0.25,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,,1.43,11.25,6.75,4.5,1.5,0.5,1.75,1.75,0.75,43,8.75,1.0,0.75,1.25,3.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rice ,M,WHU
Neves (M)WOL,4,90,2.25,0.5,0.5,1.75,0.0,0.25,0.0,0.5,0.25,0.25,0.0,67,1.25,0.25,0.0,1.0,0.0,0,0.24,0.05,0.08,1.43,3.92,25,5.5,5.0,0.75,9.5,18.5,15.25,16.45,28.0,53.75,45.25,84,29.75,23.25,78,15.75,11.5,73,0.25,0.0,66.75,1.25,8.25,0.25,3.0,0.0,0.75,0.0,0.75,0.75,0.75,0.0,0.25,0.0,0.25,0.25,0.0,0.0,2.5,,1.51,12.5,8.75,4.75,3.25,1.25,2.0,1.5,0.75,50,5.5,2.25,0.25,0.75,3.25,1.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,Neves ,M,WOL
Gibbs-White (M)NFO,4,80,2.5,1.0,1.75,0.75,0.25,0.75,0.5,0.5,0.25,0.25,0.0,75,2.0,0.75,0.25,4.0,1.0,25,0.41,0.41,0.33,3.03,5.36,51,5.5,6.75,1.5,8.5,19.75,34.0,28.1,23.65,22.75,15.5,68,21.5,13.5,63,12.5,8.5,68,0.5,0.5,41.5,2.75,5.0,0.0,6.0,0.0,0.5,1.75,3.5,1.75,1.75,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.25,,2.0,13.25,11.0,4.75,3.5,1.0,3.0,0.5,0.25,50,5.5,0.25,0.0,0.75,1.0,1.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,Gibbs-White ,M,NFO
Moutinho (M)WOL,4 (1),72,0.75,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,1.75,0.0,0.0,2.0,1.0,50,0.0,0.0,0.16,0.5,2.92,13,4.7,1.75,0.0,10.75,10.75,2.5,24.18,7.0,35.0,29.25,84,19.0,14.0,74,9.75,7.0,72,0.0,0.0,44.25,0.0,3.75,0.0,4.0,0.0,0.5,1.5,1.75,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.25,,1.51,12.5,8.75,4.75,3.25,1.25,2.0,1.0,0.0,0,4.5,0.25,0.0,0.5,0.75,1.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,Moutinho ,M,WOL
